종목명,종목코드,시장,섹터코드,섹터명,기존섹터코드,기존섹터명,분류근거,매칭방식,검토신뢰도,추가검토필요
LS증권,078020,KOSDAQ,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
NHN KCP,060250,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
SBI인베스트먼트,019550,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
SV인베스트먼트,289080,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
TS인베스트먼트,246690,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
교보15호스팩,465320,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
교보16호스팩,482520,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
교보17호스팩,489210,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
교보18호스팩,0041B0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
교보19호스팩,0098T0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
교보20호스팩,0132G0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
나우IB,293580,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
네오위즈홀딩스,042420,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
대성창투,027830,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
대신밸런스제17호스팩,471050,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
대신밸런스제19호스팩,482690,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
대신밸런스제20호스팩,0134X0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
디비금융제13호스팩,489730,KOSDAQ,S03,금융·보험·투자,S05,건설·부동산,스팩(SPAC) 자동 분류,스팩,높음,False
디비금융제14호스팩,0004Y0,KOSDAQ,S03,금융·보험·투자,S05,건설·부동산,스팩(SPAC) 자동 분류,스팩,높음,False
로스웰,900260,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
린드먼아시아,277070,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
매일홀딩스,005990,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
메리츠제1호스팩,0088D0,KOSDAQ,S03,금융·보험·투자,S05,건설·부동산,스팩(SPAC) 자동 분류,스팩,높음,False
메리츠제2호스팩,0165X0,KOSDAQ,S03,금융·보험·투자,S05,건설·부동산,스팩(SPAC) 자동 분류,스팩,높음,False
메이슨캐피탈,021880,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
미래에셋벤처투자,100790,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
미래에셋비전스팩10호,0097F0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
미래에셋비전스팩11호,0099W0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
미래에셋비전스팩4호,477380,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
미래에셋비전스팩5호,477470,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
미래에셋비전스팩6호,478440,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
미래에셋비전스팩7호,482680,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
미래에셋비전스팩8호,0093G0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
미래에셋비전스팩9호,0096D0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
비엔케이제3호스팩,0068Y0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
비츠로테크,042370,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
비케이홀딩스,050090,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
사토시홀딩스,223310,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
삼성스팩10호,0044K0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
삼성스팩11호,0071M0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
삼성스팩12호,0096B0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
삼성스팩13호,0115H0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
스톤브릿지벤처스,330730,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
신영스팩10호,472220,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
신영스팩11호,0091W0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
신한제12호스팩,474660,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
신한제13호스팩,474930,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
신한제14호스팩,487360,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
신한제15호스팩,487830,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
신한제16호스팩,496070,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
신한제17호스팩,0130D0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
신한제18호스팩,0129K0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
심텍홀딩스,036710,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
아이디스홀딩스,054800,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
아주IB투자,027360,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
에스케이증권제11호스팩,472230,KOSDAQ,S03,금융·보험·투자,S05,건설·부동산,스팩(SPAC) 자동 분류,스팩,높음,False
에스케이증권제12호스팩,473000,KOSDAQ,S03,금융·보험·투자,S05,건설·부동산,스팩(SPAC) 자동 분류,스팩,높음,False
에스케이증권제13호스팩,473950,KOSDAQ,S03,금융·보험·투자,S05,건설·부동산,스팩(SPAC) 자동 분류,스팩,높음,False
에이치엠씨제7호스팩,477340,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
에이티넘인베스트,021080,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
엔에이치스팩31호,481890,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
엔에이치스팩32호,0054V0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
엔에이치스팩33호,0130H0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
엘에스스팩1호,0041J0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
우리기술투자,041190,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
원익홀딩스,030530,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
윙입푸드,900340,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
유비쿼스홀딩스,078070,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
유안타제15호스팩,473050,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
유안타제16호스팩,474490,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
유안타제17호스팩,493790,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
유진스팩10호,468760,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
유진스팩11호,488060,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
유진스팩12호,0105P0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
이건홀딩스,039020,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
이베스트스팩6호,478110,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
이지홀딩스,035810,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
인카금융서비스,211050,KOSDAQ,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
제이스코홀딩스,023440,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
지구홀딩스,221800,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
캡스톤파트너스,452300,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
컴퍼니케이,307930,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
코리아에셋투자증권,190650,KOSDAQ,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
큐로홀딩스,051780,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
큐캐피탈,016600,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
키움제10호스팩,487720,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
키움제11호스팩,489480,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
키움히어로제1호스팩,466690,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
키움히어로제2호스팩,0131D0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
푸른저축은행,007330,KOSDAQ,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
플루토스,019570,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
하나30호스팩,469880,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
하나31호스팩,469900,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
하나32호스팩,475240,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
하나33호스팩,475250,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
하나34호스팩,484130,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
하나35호스팩,0041L0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
하나36호스팩,0101C0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
하림지주,003380,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
한국제15호스팩,479880,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
한국제16호스팩,0164H0,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
한국캐피탈,023760,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
한패스,408470,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
한화플러스제5호스팩,498390,KOSDAQ,S03,금융·보험·투자,S99,기타,스팩(SPAC) 자동 분류,스팩,높음,False
헝셩그룹,900270,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
헥토파이낸셜,234340,KOSDAQ,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
휴맥스홀딩스,028080,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
흥국,010240,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
흥국에프엔비,189980,KOSDAQ,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
AK홀딩스,006840,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
BGF,027410,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
BNK금융지주,138930,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
CJ,001040,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
CJ4우(전환),00104K,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
CJ우,001045,KOSPI,S03,금융·보험·투자,S99,기타,보통주 CJ와 동일 섹터 적용,AI+수동검토,높음,True
CR홀딩스,000480,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
CS홀딩스,000590,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
DB손해보험,005830,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
DB증권,016610,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
GS,078930,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
GS우,078935,KOSPI,S03,금융·보험·투자,S99,기타,보통주 GS와 동일 섹터 적용,AI+수동검토,높음,True
GS피앤엘,499790,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
HDC,012630,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
HL홀딩스,060980,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
HS효성,487570,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
JB금융지주,175330,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
JW홀딩스,096760,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
KB금융,105560,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
KB발해인프라,415640,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,중간,True
KC그린홀딩스,009440,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
KISCO홀딩스,001940,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
KPX홀딩스,092230,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
LG,003550,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
LG우,003555,KOSPI,S03,금융·보험·투자,S99,기타,보통주 LG와 동일 섹터 적용,AI+수동검토,높음,True
LS,006260,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
LX홀딩스,383800,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
LX홀딩스1우,38380K,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
NH투자증권,005940,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
NH투자증권우,005945,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
POSCO홀딩스,005490,KOSPI,S03,금융·보험·투자,S08,조선·방산·우주,자동 패턴 매칭,키워드,높음,False
SJM홀딩스,025530,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
SK디스커버리우,006125,KOSPI,S03,금융·보험·투자,S99,기타,보통주 SK디스커버리와 동일 섹터 적용,AI+수동검토,높음,True
SK스퀘어,402340,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
SK우,03473K,KOSPI,S03,금융·보험·투자,S99,기타,보통주 SK와 동일 섹터 적용,AI+수동검토,높음,True
SK증권,001510,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
SK증권우,001515,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
SNT홀딩스,036530,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
iM금융지주,139130,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
경동인베스트,012320,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
교보증권,030610,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
기업은행,024110,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
노루홀딩스,000320,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
노루홀딩스우,000325,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
다올투자증권,030210,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
대덕1우,00806K,KOSPI,S03,금융·보험·투자,S99,기타,보통주 대덕와 동일 섹터 적용,AI+수동검토,높음,True
대성홀딩스,016710,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
대신증권,003540,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
대신증권2우B,003547,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
대신증권우,003545,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
동국홀딩스,001230,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
동아쏘시오홀딩스,000640,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
동양생명,082640,KOSPI,S03,금융·보험·투자,S05,건설·부동산,한국거래소 공식 업종,AI+수동검토,높음,True
롯데손해보험,000400,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
롯데지주,004990,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
롯데지주우,00499K,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
맥쿼리인프라,088980,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
맵스리얼티,094800,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,중간,True
미래에셋생명,085620,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
미래에셋증권,006800,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
미래에셋증권2우B,00680K,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
미래에셋증권우,006805,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
미스토홀딩스,081660,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
미원홀딩스,107590,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
부국증권,001270,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
부국증권우,001275,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
삼성생명,032830,KOSPI,S03,금융·보험·투자,S05,건설·부동산,한국거래소 공식 업종,AI+수동검토,높음,True
삼성에피스홀딩스,0126Z0,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
삼성증권,016360,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
삼성카드,029780,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
삼성화재,000810,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
삼성화재우,000815,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
삼양홀딩스,000070,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
서울보증보험,031210,KOSPI,S03,금융·보험·투자,S05,건설·부동산,한국거래소 공식 업종,AI+수동검토,높음,True
성창기업지주,000180,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
세아제강지주,003030,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
세아홀딩스,058650,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
스틱인베스트먼트,026890,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
신송홀딩스,006880,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
신영증권,001720,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
신한지주,055550,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
에이플러스에셋,244920,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
엘브이엠씨홀딩스,900140,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
오리온홀딩스,001800,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
우리금융지주,316140,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
유수홀딩스,000700,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
유안타증권,003470,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
유안타증권우,003475,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
유진투자증권,001200,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
유화증권,003460,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
유화증권우,003465,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
일동홀딩스,000230,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
일진홀딩스,015860,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
제일파마홀딩스,002620,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
제주은행,006220,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
진양홀딩스,100250,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
카카오뱅크,323410,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
카카오페이,377300,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
케이뱅크,279570,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
코리안리,003690,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
코오롱,002020,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
코오롱우,002025,KOSPI,S03,금융·보험·투자,S99,기타,보통주 코오롱와 동일 섹터 적용,AI+수동검토,높음,True
콜마홀딩스,024720,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
쿠쿠홀딩스,192400,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
크라운해태홀딩스,005740,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
크라운해태홀딩스우,005745,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
키움증권,039490,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
티와이홀딩스,363280,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
티와이홀딩스우,36328K,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
평화홀딩스,010770,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
풍산홀딩스,005810,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
하나금융지주,086790,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
한국금융지주,071050,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
한국금융지주우,071055,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
한국앤컴퍼니,000240,KOSPI,S03,금융·보험·투자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
한국자산신탁,123890,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
한국토지신탁,034830,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
한세예스24홀딩스,016450,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
한솔홀딩스,004150,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
한양증권,001750,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
한양증권우,001755,KOSPI,S03,금융·보험·투자,S05,건설·부동산,자동 패턴 매칭,키워드,높음,False
한일홀딩스,003300,KOSPI,S03,금융·보험·투자,S99,기타,자동 패턴 매칭,키워드,높음,False
