종목명,종목코드,시장
알트,459550,KOSDAQ
알티캐스트,085810,KOSDAQ
알파AI,043100,KOSDAQ
알파칩스,117670,KOSDAQ
압타머사이언스,291650,KOSDAQ
애니플러스,310200,KOSDAQ
애드포러스,397810,KOSDAQ
액스비스,0011A0,KOSDAQ
액토즈소프트,052790,KOSDAQ
액트로,290740,KOSDAQ
앤디포스,238090,KOSDAQ
앤로보틱스,138360,KOSDAQ
앤씨앤,092600,KOSDAQ
앱코,129890,KOSDAQ
앱클론,174900,KOSDAQ
앱토크롬,109960,KOSDAQ
앱튼,270520,KOSDAQ
야스,255440,KOSDAQ
양지사,030960,KOSDAQ
얼라인드,238120,KOSDAQ
에너토크,019990,KOSDAQ
에르코스,435570,KOSDAQ
에브리봇,270660,KOSDAQ
에스넷,038680,KOSDAQ
에스디생명공학,217480,KOSDAQ
에스디시스템,121890,KOSDAQ
에스비비테크,389500,KOSDAQ
에스씨디,042110,KOSDAQ
에스아이리소스,065420,KOSDAQ
에스앤더블류,103230,KOSDAQ
에스앤디,260970,KOSDAQ
에스앤에스텍,101490,KOSDAQ
에스에너지,095910,KOSDAQ
에스에스알,275630,KOSDAQ
에스에이엠티,031330,KOSDAQ
에스에이티,060540,KOSDAQ
에스엔시스,0008Z0,KOSDAQ
에스엠,041510,KOSDAQ
에스엠씨지,460870,KOSDAQ
에스오에스랩,464080,KOSDAQ
에스와이,109610,KOSDAQ
에스와이스틸텍,365330,KOSDAQ
에스제이그룹,306040,KOSDAQ
에스켐,475660,KOSDAQ
에스코넥,096630,KOSDAQ
에스텍,069510,KOSDAQ
에스투더블유,488280,KOSDAQ
에스트래픽,234300,KOSDAQ
에스티아이,039440,KOSDAQ
에스티오,098660,KOSDAQ
에스티큐브,052020,KOSDAQ
에스티팜,237690,KOSDAQ
에스팀,458350,KOSDAQ
에스폴리텍,050760,KOSDAQ
에스프리즘,288620,KOSDAQ
에스피소프트,443670,KOSDAQ
에스피시스템스,317830,KOSDAQ
에스피지,058610,KOSDAQ
에쎈테크,043340,KOSDAQ
에어레인,163280,KOSDAQ
에이디테크놀로지,200710,KOSDAQ
에이럭스,475580,KOSDAQ
에이루트,096690,KOSDAQ
에이비온,203400,KOSDAQ
에이스침대,003800,KOSDAQ
에이스테크,088800,KOSDAQ
에이스토리,241840,KOSDAQ
에이아이코리아,364950,KOSDAQ
에이에스텍,453860,KOSDAQ
에이에프더블류,312610,KOSDAQ
에이엘티,172670,KOSDAQ
에이유브랜즈,481070,KOSDAQ
에이전트AI,060900,KOSDAQ
에이직랜드,445090,KOSDAQ
에이치브이엠,295310,KOSDAQ
에이치시티,072990,KOSDAQ
에이치엔에스하이텍,044990,KOSDAQ
에이치엘사이언스,239610,KOSDAQ
에이치엠넥스,036170,KOSDAQ
에이치엠씨제7호스팩,477340,KOSDAQ
에이치와이티씨,148930,KOSDAQ
에이치케이,044780,KOSDAQ
에이치피오,357230,KOSDAQ
에이텀,355690,KOSDAQ
에이테크솔루션,071670,KOSDAQ
에이텍,045660,KOSDAQ
에이텍모빌리티,224110,KOSDAQ
에이티넘인베스트,021080,KOSDAQ
에이팩트,200470,KOSDAQ
에이프로,262260,KOSDAQ
에치에프알,230240,KOSDAQ
에코글로우,159910,KOSDAQ
에코볼트,097780,KOSDAQ
에코심플렉스,038870,KOSDAQ
에코아이,448280,KOSDAQ
에코앤드림,101360,KOSDAQ
에코캡,128540,KOSDAQ
에코플라스틱,038110,KOSDAQ
에프알텍,073540,KOSDAQ
에프앤가이드,064850,KOSDAQ
에프에스티,036810,KOSDAQ
에프엔씨엔터,173940,KOSDAQ
에프엔에스테크,083500,KOSDAQ
에피소드컴퍼니,317530,KOSDAQ
엑사이엔씨,054940,KOSDAQ
엑셀세라퓨틱스,373110,KOSDAQ
엑셈,205100,KOSDAQ
엑스게이트,356680,KOSDAQ
엑스큐어,070300,KOSDAQ
엑스페릭스,317770,KOSDAQ
엑스플러스,373200,KOSDAQ
엑시온그룹,069920,KOSDAQ
엑시콘,092870,KOSDAQ
엔브이에이치코리아,067570,KOSDAQ
엔비알모션,0004V0,KOSDAQ
엔비티,236810,KOSDAQ
엔시스,333620,KOSDAQ
엔시트론,101400,KOSDAQ
엔알비,475230,KOSDAQ
엔에이치스팩31호,481890,KOSDAQ
엔에이치스팩32호,0054V0,KOSDAQ
엔에이치스팩33호,0130H0,KOSDAQ
엔에프씨,265740,KOSDAQ
엔젤로보틱스,455900,KOSDAQ
엔젯,419080,KOSDAQ
엔지켐생명과학,183490,KOSDAQ
엔켐,348370,KOSDAQ
엔텔스,069410,KOSDAQ
엔투텍,227950,KOSDAQ
엔피,291230,KOSDAQ
엔피케이,048830,KOSDAQ
엘디티,096870,KOSDAQ
엘에스스팩1호,0041J0,KOSDAQ
엘엠에스,073110,KOSDAQ
엘오티베큠,083310,KOSDAQ
엘컴텍,037950,KOSDAQ
엘케이켐,489500,KOSDAQ
엘티씨,170920,KOSDAQ
엠디바이스,226590,KOSDAQ
엠로,058970,KOSDAQ
엠브레인,169330,KOSDAQ
엠아이큐브솔루션,373170,KOSDAQ
엠아이텍,179290,KOSDAQ
엠에스씨,009780,KOSDAQ
엠에프씨,432980,KOSDAQ
엠엑스로보틱스,007820,KOSDAQ
엠엑스온,347890,KOSDAQ
엠오티,413390,KOSDAQ
엠젠솔루션,032790,KOSDAQ
엠케이전자,033160,KOSDAQ
엠투엔,033310,KOSDAQ
엠플러스,259630,KOSDAQ
엣지파운드리,105550,KOSDAQ
영림원소프트랩,060850,KOSDAQ
영우디에스피,143540,KOSDAQ
영화테크,265560,KOSDAQ
예림당,036000,KOSDAQ
예선테크,250930,KOSDAQ
예스24,053280,KOSDAQ
예스티,122640,KOSDAQ
오가노이드사이언스,476040,KOSDAQ
오가닉티코스메틱,900300,KOSDAQ
오공,045060,KOSDAQ
오늘이엔엠,192410,KOSDAQ
오디텍,080520,KOSDAQ
오로라,039830,KOSDAQ
오로스테크놀로지,322310,KOSDAQ
오르비텍,046120,KOSDAQ
오름테라퓨틱,475830,KOSDAQ
오리엔탈정공,014940,KOSDAQ
오리엔트정공,065500,KOSDAQ
오리콤,010470,KOSDAQ
오브젠,417860,KOSDAQ
오비고,352910,KOSDAQ
오상자이엘,053980,KOSDAQ
오션인더블유,052300,KOSDAQ
오스코텍,039200,KOSDAQ
오스테오닉,226400,KOSDAQ
오스템,031510,KOSDAQ
오아,342870,KOSDAQ
오에스피,368970,KOSDAQ
오이솔루션,138080,KOSDAQ
오킨스전자,080580,KOSDAQ
오텍,067170,KOSDAQ
오파스넷,173130,KOSDAQ
오픈놀,440320,KOSDAQ
오픈베이스,049480,KOSDAQ
오픈엣지테크놀로지,394280,KOSDAQ
온코닉테라퓨틱스,476060,KOSDAQ
온코크로스,382150,KOSDAQ
올리패스,244460,KOSDAQ
올릭스,226950,KOSDAQ
옴니시스템,057540,KOSDAQ
옵트론텍,082210,KOSDAQ
옵티시스,109080,KOSDAQ
옵티코어,380540,KOSDAQ
옵티팜,153710,KOSDAQ
와이랩,432430,KOSDAQ
와이솔,122990,KOSDAQ
와이씨,232140,KOSDAQ
와이씨켐,112290,KOSDAQ
와이어블,065530,KOSDAQ
와이엔텍,067900,KOSDAQ
와이엠,007530,KOSDAQ
와이엠씨,155650,KOSDAQ
와이엠텍,273640,KOSDAQ
와이엠티,251370,KOSDAQ
와이제이링크,209640,KOSDAQ
와이즈넛,096250,KOSDAQ
와이즈버즈,273060,KOSDAQ
와이지-원,019210,KOSDAQ
와이지엔터테인먼트,122870,KOSDAQ
와토스코리아,079000,KOSDAQ
우듬지팜,403490,KOSDAQ
우리기술,032820,KOSDAQ
우리기술투자,041190,KOSDAQ
우리넷,115440,KOSDAQ
우리로,046970,KOSDAQ
우리산업,215360,KOSDAQ
우리산업홀딩스,072470,KOSDAQ
우리손에프앤지,073560,KOSDAQ
우리엔터프라이즈,037400,KOSDAQ
우리이앤엘하루틴,153490,KOSDAQ
우림피티에스,101170,KOSDAQ
우양,103840,KOSDAQ
우양에이치씨,101970,KOSDAQ
우주일렉트로,065680,KOSDAQ
우진비앤지,018620,KOSDAQ
우진엔텍,457550,KOSDAQ
워트,396470,KOSDAQ
원익,032940,KOSDAQ
원익QnC,074600,KOSDAQ
원익머트리얼즈,104830,KOSDAQ
원익큐브,014190,KOSDAQ
원익피앤이,217820,KOSDAQ
원익홀딩스,030530,KOSDAQ
원일특강,012620,KOSDAQ
원일티엔아이,136150,KOSDAQ
원준,382840,KOSDAQ
원텍,336570,KOSDAQ
원티드랩,376980,KOSDAQ
원풍,008370,KOSDAQ
원풍물산,008290,KOSDAQ
월덱스,101160,KOSDAQ
웨이버스,336060,KOSDAQ
웨이브일렉트로,095270,KOSDAQ
웨이비스,289930,KOSDAQ
웰크론,065950,KOSDAQ
웰크론한텍,076080,KOSDAQ
웰킵스하이텍,043590,KOSDAQ
웹스,196700,KOSDAQ
웹젠,069080,KOSDAQ
웹케시,053580,KOSDAQ
위너스일렉,479960,KOSDAQ
위닉스,044340,KOSDAQ
위드텍,348350,KOSDAQ
위세아이텍,065370,KOSDAQ
위즈코프,038620,KOSDAQ
위지윅스튜디오,299900,KOSDAQ
위지트,036090,KOSDAQ
위츠,459100,KOSDAQ
윈스테크넷,136540,KOSDAQ
윈팩,097800,KOSDAQ
윈하이텍,192390,KOSDAQ
윙스풋,335870,KOSDAQ
윙입푸드,900340,KOSDAQ
유니셈,036200,KOSDAQ
유니슨,018000,KOSDAQ
유니크,011320,KOSDAQ
유니테스트,086390,KOSDAQ
유니테크노,241690,KOSDAQ
유니트론텍,142210,KOSDAQ
유디엠텍,389680,KOSDAQ
유라클,088340,KOSDAQ
유라테크,048430,KOSDAQ
유비벨록스,089850,KOSDAQ
유비온,084440,KOSDAQ
유비쿼스,264450,KOSDAQ
유비쿼스홀딩스,078070,KOSDAQ
유성티엔에스,024800,KOSDAQ
유신,054930,KOSDAQ
유아이디,069330,KOSDAQ
유아이엘,049520,KOSDAQ
유안타제15호스팩,473050,KOSDAQ
유안타제16호스팩,474490,KOSDAQ
유안타제17호스팩,493790,KOSDAQ
유에스티,263770,KOSDAQ
유일로보틱스,388720,KOSDAQ
유진기업,023410,KOSDAQ
유진로봇,056080,KOSDAQ
유진스팩10호,468760,KOSDAQ
유진스팩11호,488060,KOSDAQ
유진스팩12호,0105P0,KOSDAQ
유진테크,084370,KOSDAQ
유진테크놀로지,240600,KOSDAQ
유티아이,179900,KOSDAQ
유틸렉스,263050,KOSDAQ
육일씨엔에쓰,191410,KOSDAQ
윤성에프앤씨,372170,KOSDAQ
율촌,146060,KOSDAQ
이건홀딩스,039020,KOSDAQ
이글루,067920,KOSDAQ
이글벳,044960,KOSDAQ
이노뎁,303530,KOSDAQ
이노메트리,302430,KOSDAQ
이노스페이스,462350,KOSDAQ
이노시뮬레이션,274400,KOSDAQ
이노에이엑스,296640,KOSDAQ
이노인스트루먼트,215790,KOSDAQ
이노진,344860,KOSDAQ
이노테나,333050,KOSDAQ
이노테크,469610,KOSDAQ
이녹스,088390,KOSDAQ
이니텍,053350,KOSDAQ
이닉스,452400,KOSDAQ
이랜시스,264850,KOSDAQ
이랜텍,054210,KOSDAQ
이렘,009730,KOSDAQ
이루온,065440,KOSDAQ
이뮨온시아,424870,KOSDAQ
이미지스,115610,KOSDAQ
이베스트스팩6호,478110,KOSDAQ
이삭엔지니어링,351330,KOSDAQ
이상네트웍스,080010,KOSDAQ
이수앱지스,086890,KOSDAQ
이스트소프트,047560,KOSDAQ
이스트에이드,239340,KOSDAQ
이씨에스,067010,KOSDAQ
이엔셀,456070,KOSDAQ
이엔에프테크놀로지,102710,KOSDAQ
이엘씨,041520,KOSDAQ
이엘피,063760,KOSDAQ
이엠넷,123570,KOSDAQ
이엠앤아이,083470,KOSDAQ
이엠텍,091120,KOSDAQ
이오플로우,294090,KOSDAQ
이원컴포텍,088290,KOSDAQ
이지스,261520,KOSDAQ
이지케어텍,099750,KOSDAQ
이지트로닉스,377330,KOSDAQ
이지홀딩스,035810,KOSDAQ
이크레더블,092130,KOSDAQ
이퓨쳐,134060,KOSDAQ
이화공영,001840,KOSDAQ
인바디,041830,KOSDAQ
인베니아,079950,KOSDAQ
인벤테라,0007J0,KOSDAQ
인벤티지랩,389470,KOSDAQ
인산가,277410,KOSDAQ
인선이엔티,060150,KOSDAQ
인성정보,033230,KOSDAQ
인스웨이브,450520,KOSDAQ
인스피언,465480,KOSDAQ
인지디스플레,037330,KOSDAQ
인지소프트,100030,KOSDAQ
인콘,083640,KOSDAQ
인크레더블버즈,064090,KOSDAQ
인크로스,216050,KOSDAQ
인탑스,049070,KOSDAQ
인터로조,119610,KOSDAQ
인터엠,017250,KOSDAQ
인터플렉스,051370,KOSDAQ
인텍플러스,064290,KOSDAQ
인텔리안테크,189300,KOSDAQ
인투셀,287840,KOSDAQ
인티큐브,070590,KOSDAQ
인포바인,115310,KOSDAQ
인포뱅크,039290,KOSDAQ
인화정공,101930,KOSDAQ
일승,333430,KOSDAQ
일월지엠엘,178780,KOSDAQ
일지테크,019540,KOSDAQ
일진파워,094820,KOSDAQ
잉글우드랩,950140,KOSDAQ
잉크테크,049550,KOSDAQ
자람테크놀로지,389020,KOSDAQ
자비스,254120,KOSDAQ
자연과환경,043910,KOSDAQ
자이글,234920,KOSDAQ
자이언트스텝,289220,KOSDAQ
재영솔루텍,049630,KOSDAQ
저스템,417840,KOSDAQ
정다운,208140,KOSDAQ
정상제이엘에스,040420,KOSDAQ
정원엔시스,045510,KOSDAQ
제너셈,217190,KOSDAQ
제넥신,095700,KOSDAQ
제노레이,122310,KOSDAQ
제노코,361390,KOSDAQ
제놀루션,225220,KOSDAQ
제닉,123330,KOSDAQ
제닉스로보틱스,381620,KOSDAQ
제로투세븐,159580,KOSDAQ
제룡산업,147830,KOSDAQ
제룡전기,033100,KOSDAQ
제우스,079370,KOSDAQ
제이브이엠,054950,KOSDAQ
제이스로보틱스,090470,KOSDAQ
제이스코홀딩스,023440,KOSDAQ
제이씨케미칼,137950,KOSDAQ
제이씨현시스템,033320,KOSDAQ
제이아이테크,417500,KOSDAQ
제이앤티씨,204270,KOSDAQ
제이에스링크,127120,KOSDAQ
제이에스티나,026040,KOSDAQ
제이엔비,452160,KOSDAQ
제이엔케이글로벌,126880,KOSDAQ
제이엘케이,322510,KOSDAQ
제이엠아이,033050,KOSDAQ
제이엠티,094970,KOSDAQ
제이오,418550,KOSDAQ
제이케이시냅스,060230,KOSDAQ
제이티,089790,KOSDAQ
제일엠앤에스,412540,KOSDAQ
제일일렉트릭,199820,KOSDAQ
제일테크노스,038010,KOSDAQ
제테마,216080,KOSDAQ
젝시믹스,337930,KOSDAQ
젠큐릭스,229000,KOSDAQ
젬백스,082270,KOSDAQ
져스텍,153890,KOSDAQ
조이시티,067000,KOSDAQ
조이웍스앤코,309930,KOSDAQ
졸스,018700,KOSDAQ
좋은사람들,033340,KOSDAQ
주성엔지니어링,036930,KOSDAQ
중앙백신,072020,KOSDAQ
중앙에너비스,000440,KOSDAQ
지구홀딩스,221800,KOSDAQ
지노믹트리,228760,KOSDAQ
지놈앤컴퍼니,314130,KOSDAQ
지니너스,389030,KOSDAQ
지니언스,263860,KOSDAQ
지니틱스,303030,KOSDAQ
지란지교시큐리티,208350,KOSDAQ
지슨,446840,KOSDAQ
지씨셀,144510,KOSDAQ
지씨지놈,340450,KOSDAQ
지아이에스,306620,KOSDAQ
지아이이노베이션,358570,KOSDAQ
지아이텍,382480,KOSDAQ
지앤비에스 에코,382800,KOSDAQ
지어소프트,051160,KOSDAQ
지에스이,053050,KOSDAQ
지에프씨생명과학,388610,KOSDAQ
지에프아이,493330,KOSDAQ
지엔씨에너지,119850,KOSDAQ
지엔코,065060,KOSDAQ
지엘팜텍,204840,KOSDAQ
지오엘리먼트,311320,KOSDAQ
지투파워,388050,KOSDAQ
진로발효,018120,KOSDAQ
진매트릭스,109820,KOSDAQ
진성티이씨,036890,KOSDAQ
진시스템,363250,KOSDAQ
진영,285800,KOSDAQ
차이커뮤니케이션,351870,KOSDAQ
참좋은여행,094850,KOSDAQ
창해에탄올,004650,KOSDAQ
채비,0011T0,KOSDAQ
천보,278280,KOSDAQ
청담글로벌,362320,KOSDAQ
청보,013720,KOSDAQ
체리부로,066360,KOSDAQ
초록뱀미디어,047820,KOSDAQ
칩스앤미디어,094360,KOSDAQ
카나프테라퓨틱스,0082N0,KOSDAQ
카스,016920,KOSDAQ
카이노스메드,284620,KOSDAQ
카티스,140430,KOSDAQ
카페24,042000,KOSDAQ
캐리,313760,KOSDAQ
캐스텍코리아,071850,KOSDAQ
캐프,198080,KOSDAQ
캔버스엔,210120,KOSDAQ
캠시스,050110,KOSDAQ
캡스톤파트너스,452300,KOSDAQ
컨텍,451760,KOSDAQ
컬러레이,900310,KOSDAQ
컴퍼니케이,307930,KOSDAQ
케스피온,079190,KOSDAQ
케어랩스,263700,KOSDAQ
케어젠,214370,KOSDAQ
케이디켐,221980,KOSDAQ
케이사인,192250,KOSDAQ
케이쓰리아이,431190,KOSDAQ
케이씨에스,115500,KOSDAQ
케이씨티,089150,KOSDAQ
케이씨피드,025880,KOSDAQ
케이아이엔엑스,093320,KOSDAQ
케이알엠,093640,KOSDAQ
케이에스피,073010,KOSDAQ
케이엔더블유,105330,KOSDAQ
케이엔솔,053080,KOSDAQ
케이엔알시스템,199430,KOSDAQ
케이엔에스,432470,KOSDAQ
케이엔제이,272110,KOSDAQ
케이엘넷,039420,KOSDAQ
케이엠,083550,KOSDAQ
케이엠더블유,032500,KOSDAQ
케이옥션,102370,KOSDAQ
케이웨더,068100,KOSDAQ
케이이엠텍,106080,KOSDAQ
케이지에이,455180,KOSDAQ
케이티알파,036030,KOSDAQ
케이프,064820,KOSDAQ
케이피에프,024880,KOSDAQ
케이피엠테크,042040,KOSDAQ
케이피티유,054410,KOSDAQ
케이피항공산업,288180,KOSDAQ
케일럼,258610,KOSDAQ
켄코아에어로스페이스,274090,KOSDAQ
켐트로닉스,089010,KOSDAQ
켐트로스,220260,KOSDAQ
코나아이,052400,KOSDAQ
코난테크놀로지,402030,KOSDAQ
코다코,046070,KOSDAQ
코데즈컴바인,047770,KOSDAQ
코디,080530,KOSDAQ
코렌텍,104540,KOSDAQ
코리아나,027050,KOSDAQ
코리아에프티,123410,KOSDAQ
코맥스,036690,KOSDAQ
코메론,049430,KOSDAQ
코미코,183300,KOSDAQ
코미팜,041960,KOSDAQ
코세스,089890,KOSDAQ
코셈,360350,KOSDAQ
코스나인,082660,KOSDAQ
코스리거글로벌,043710,KOSDAQ
코스맥스엔비티,222040,KOSDAQ
코스메카코리아,241710,KOSDAQ
코스모로보틱스,439960,KOSDAQ
코스텍시스,355150,KOSDAQ
코아스템켐온,166480,KOSDAQ
코아시아,045970,KOSDAQ
코아시아씨엠,196450,KOSDAQ
코어라인소프트,384470,KOSDAQ
코오롱생명과학,102940,KOSDAQ
코오롱티슈진,950160,KOSDAQ
코위버,056360,KOSDAQ
코윈테크,282880,KOSDAQ
코이즈,121850,KOSDAQ
코츠테크놀로지,448710,KOSDAQ
코칩,126730,KOSDAQ
코콤,015710,KOSDAQ
코텍,052330,KOSDAQ
코퍼스코리아,322780,KOSDAQ
콜마비앤에이치,200130,KOSDAQ
쿠콘,294570,KOSDAQ
쿼드메디슨,464490,KOSDAQ
퀀타매트릭스,317690,KOSDAQ
큐라클,365270,KOSDAQ
큐라티스,348080,KOSDAQ
큐렉소,060280,KOSDAQ
큐로셀,372320,KOSDAQ
큐로홀딩스,051780,KOSDAQ
큐리언트,115180,KOSDAQ
큐리오시스,494120,KOSDAQ
큐브엔터,182360,KOSDAQ
큐알티,405100,KOSDAQ
큐에스아이,066310,KOSDAQ
큐에이드,377460,KOSDAQ
큐캐피탈,016600,KOSDAQ
크라우드웍스,355390,KOSDAQ
크레버스,096240,KOSDAQ
크레오에스지,040350,KOSDAQ
크리스에프앤씨,110790,KOSDAQ
크린앤사이언스,045520,KOSDAQ
클로봇,466100,KOSDAQ
클리오,237880,KOSDAQ
키네마스터,139670,KOSDAQ
키스트론,475430,KOSDAQ
키움제10호스팩,487720,KOSDAQ
키움제11호스팩,489480,KOSDAQ
키움히어로제1호스팩,466690,KOSDAQ
키움히어로제2호스팩,0131D0,KOSDAQ
키이스트,054780,KOSDAQ
킵스파마,256940,KOSDAQ
타이거일렉,219130,KOSDAQ
탑런토탈솔루션,336680,KOSDAQ
탑머티리얼,360070,KOSDAQ
탑엔지니어링,065130,KOSDAQ
탑코미디어,134580,KOSDAQ
태광,023160,KOSDAQ
태성,323280,KOSDAQ
태양,053620,KOSDAQ
태웅,044490,KOSDAQ
태웅로직스,124560,KOSDAQ
테고사이언스,191420,KOSDAQ
테라뷰,950250,KOSDAQ
테라사이언스,073640,KOSDAQ
테라젠이텍스,066700,KOSDAQ
테스,095610,KOSDAQ
테크엘,064520,KOSDAQ
테크윙,089030,KOSDAQ
텔레칩스,054450,KOSDAQ
토마토시스템,393210,KOSDAQ
토모큐브,475960,KOSDAQ
토박스코리아,215480,KOSDAQ
토비스,051360,KOSDAQ
토탈소프트,045340,KOSDAQ
톱텍,108230,KOSDAQ
투비소프트,079970,KOSDAQ
툴젠,199800,KOSDAQ
트루엔,417790,KOSDAQ
트윔,290090,KOSDAQ
티디에스팜,464280,KOSDAQ
티로보틱스,117730,KOSDAQ
티비씨,033830,KOSDAQ
티사이언티픽,057680,KOSDAQ
티쓰리,204610,KOSDAQ
티씨머티리얼즈,125020,KOSDAQ
티씨케이,064760,KOSDAQ
티앤엘,340570,KOSDAQ
티에스넥스젠,043220,KOSDAQ
티에스아이,277880,KOSDAQ
티에스이,131290,KOSDAQ
티에프이,425420,KOSDAQ
티엑스알로보틱스,484810,KOSDAQ
티엔엔터테인먼트,131100,KOSDAQ
티엘비,356860,KOSDAQ
티이엠씨,425040,KOSDAQ
티이엠씨씨엔에스,241790,KOSDAQ
티케이지애강,022220,KOSDAQ
티케이케미칼,104480,KOSDAQ
티플랙스,081150,KOSDAQ
티피씨글로벌,130740,KOSDAQ
팅크웨어,084730,KOSDAQ
파두,440110,KOSDAQ
파라택시스이더리움,290560,KOSDAQ
파라택시스코리아,288330,KOSDAQ
파라텍,033540,KOSDAQ
파루,043200,KOSDAQ
파버나인,177830,KOSDAQ
파세코,037070,KOSDAQ
파수AI,150900,KOSDAQ
파워넷,037030,KOSDAQ
파워로직스,047310,KOSDAQ
파이버프로,368770,KOSDAQ
파이오링크,170790,KOSDAQ
파이온엑스,900100,KOSDAQ
파인디앤씨,049120,KOSDAQ
파인디지털,038950,KOSDAQ
파인메딕스,387570,KOSDAQ
파인엠텍,441270,KOSDAQ
파인테크닉스,106240,KOSDAQ
파인텍,131760,KOSDAQ
파커스,065690,KOSDAQ
파크시스템스,140860,KOSDAQ
파트론,091700,KOSDAQ
판타지오,032800,KOSDAQ
팜스빌,318010,KOSDAQ
팜스토리,027710,KOSDAQ
팬스타엔터프라이즈,054300,KOSDAQ
팬엔터테인먼트,068050,KOSDAQ
팬젠,222110,KOSDAQ
팸텍,271830,KOSDAQ
펌텍코리아,251970,KOSDAQ
페스카로,0015S0,KOSDAQ
펨트론,168360,KOSDAQ
펩트론,087010,KOSDAQ
포니링크,064800,KOSDAQ
포메탈,119500,KOSDAQ
포바이포,389140,KOSDAQ
포스뱅크,105760,KOSDAQ
포스코엠텍,009520,KOSDAQ
포시에스,189690,KOSDAQ
포인트모바일,318020,KOSDAQ
포인트엔지니어링,256630,KOSDAQ
포커스에이아이,331380,KOSDAQ
포톤,208710,KOSDAQ
폰드그룹,472850,KOSDAQ
폴라리스AI,039980,KOSDAQ
폴라리스AI파마,041910,KOSDAQ
폴라리스세원,234100,KOSDAQ
폴라리스오피스,041020,KOSDAQ
폴라리스우노,114630,KOSDAQ
폴레드,487580,KOSDAQ
푸드나무,290720,KOSDAQ
푸드웰,005670,KOSDAQ
푸른로보틱스,094940,KOSDAQ
풍강,093380,KOSDAQ
풍국주정,023900,KOSDAQ
풍원정밀,371950,KOSDAQ
풍전약품,298060,KOSDAQ
퓨런티어,370090,KOSDAQ
퓨릿,445180,KOSDAQ
퓨쳐켐,220100,KOSDAQ
프럼파스트,035200,KOSDAQ
프로이천,321260,KOSDAQ
프로텍,053610,KOSDAQ
프로티나,468530,KOSDAQ
프로티아,303360,KOSDAQ
프리엠스,053160,KOSDAQ
플라즈맵,405000,KOSDAQ
플래스크,041590,KOSDAQ
플래티어,367000,KOSDAQ
플랜티넷,075130,KOSDAQ
플레이디,237820,KOSDAQ
플레이위드,023770,KOSDAQ
플루토스,019570,KOSDAQ
플리토,300080,KOSDAQ
피노,033790,KOSDAQ
피델릭스,032580,KOSDAQ
피스피스스튜디오,0117P0,KOSDAQ
피씨디렉트,051380,KOSDAQ
피씨엘,241820,KOSDAQ
피아이이,452450,KOSDAQ
피앤씨테크,237750,KOSDAQ
피앤에스로보틱스,460940,KOSDAQ
피에스케이,319660,KOSDAQ
피에스케이홀딩스,031980,KOSDAQ
피에스텍,002230,KOSDAQ
피에이치에이,043370,KOSDAQ
피엔에이치테크,239890,KOSDAQ
피엔케이피부임상연구센타,347740,KOSDAQ
피엔티,137400,KOSDAQ
피엔티엠에스,257370,KOSDAQ
피엠티,147760,KOSDAQ
피제이메탈,128660,KOSDAQ
피제이전자,006140,KOSDAQ
피코그램,376180,KOSDAQ
픽셀플러스,087600,KOSDAQ
핀텔,291810,KOSDAQ
필에너지,378340,KOSDAQ
필옵틱스,161580,KOSDAQ
핌스,347770,KOSDAQ
핑거,163730,KOSDAQ
핑거스토리,417180,KOSDAQ
하나30호스팩,469880,KOSDAQ
하나31호스팩,469900,KOSDAQ
하나32호스팩,475240,KOSDAQ
하나33호스팩,475250,KOSDAQ
하나34호스팩,484130,KOSDAQ
하나35호스팩,0041L0,KOSDAQ
하나36호스팩,0101C0,KOSDAQ
하나기술,299030,KOSDAQ
하나마이크론,067310,KOSDAQ
하나머티리얼즈,166090,KOSDAQ
하림,136480,KOSDAQ
하림지주,003380,KOSDAQ
하스,450330,KOSDAQ
하이드로리튬,101670,KOSDAQ
하이딥,365590,KOSDAQ
하이로닉,149980,KOSDAQ
하이록코리아,013030,KOSDAQ
하이비젼시스템,126700,KOSDAQ
하이젠알앤엠,160190,KOSDAQ
하이즈항공,221840,KOSDAQ
하이텍팜,106190,KOSDAQ
하이퍼코퍼레이션,065650,KOSDAQ
하츠,066130,KOSDAQ
한국가구,004590,KOSDAQ
한국경제TV,039340,KOSDAQ
한국기업평가,034950,KOSDAQ
한국맥널티,222980,KOSDAQ
한국비엔씨,256840,KOSDAQ
한국비티비,219750,KOSDAQ
한국선재,025550,KOSDAQ
한국알콜,017890,KOSDAQ
한국전자인증,041460,KOSDAQ
한국정밀기계,101680,KOSDAQ
한국정보공학,039740,KOSDAQ
한국정보인증,053300,KOSDAQ
한국제15호스팩,479880,KOSDAQ
한국제16호스팩,0164H0,KOSDAQ
한국캐피탈,023760,KOSDAQ
한국컴퓨터,054040,KOSDAQ
한국큐빅,021650,KOSDAQ
한국파마,032300,KOSDAQ
한국팩키지,037230,KOSDAQ
한국피아이엠,448900,KOSDAQ
한글과컴퓨터,030520,KOSDAQ
한네트,052600,KOSDAQ
한독크린텍,256150,KOSDAQ
한라IMS,092460,KOSDAQ
한라캐스트,125490,KOSDAQ
한빛레이저,452190,KOSDAQ
한빛소프트,047080,KOSDAQ
한선엔지니어링,452280,KOSDAQ
한성크린텍,066980,KOSDAQ
한솔아이원스,114810,KOSDAQ
한싹,430690,KOSDAQ
한양디지텍,078350,KOSDAQ
한양이엔지,045100,KOSDAQ
한울앤제주,276730,KOSDAQ
한일단조,024740,KOSDAQ
한일사료,005860,KOSDAQ
